"team","conf","w","l","tm_pts","op_pts","ssn","playoff","conf_rank","pt_diff"
"Los Angeles Clippers","west","41","41",107.1,106.8,"1993","y",7,0.299999999999997
"Los Angeles Lakers","west","39","43",104.2,105.5,"1993","y",8,-1.3
"Golden State Warriors","west","34","48",109.9,110.9,"1993","n",10,-1
"Sacramento Kings","west","25","57",107.9,111.1,"1993","n",11,-3.19999999999999
"Houston Rockets","west","58","24",101.1,96.8,"1994","y",2,4.3
"San Antonio Spurs","west","55","27",100,94.8,"1994","y",4,5.2
"Utah Jazz","west","53","29",101.9,97.7,"1994","y",5,4.2
"Denver Nuggets","west","42","40",100.3,98.8,"1994","y",8,1.5
"Minnesota Timberwolves","west","20","62",96.7,103.6,"1994","n",12,-6.89999999999999
"Dallas Mavericks","west","13","69",95.1,103.8,"1994","n",13,-8.7
"Seattle SuperSonics","west","63","19",105.9,96.9,"1994","y",1,9
"Phoenix Suns","west","56","26",108.2,103.4,"1994","y",3,4.8
"Golden State Warriors","west","50","32",107.9,106.1,"1994","y",6,1.80000000000001
"Portland Trail Blazers","west","47","35",107.3,104.6,"1994","y",7,2.7
"Los Angeles Lakers","west","33","49",100.4,104.7,"1994","n",9,-4.3
"Sacramento Kings","west","28","54",101.1,106.9,"1994","n",10,-5.80000000000001
"Los Angeles Clippers","west","27","55",103,108.7,"1994","n",11,-5.7
"San Antonio Spurs","west","62","20",106.6,100.6,"1995","y",1,6
"Utah Jazz","west","60","22",106.4,98.4,"1995","y",3,8
"Houston Rockets","west","47","35",103.5,101.4,"1995","y",6,2.09999999999999
"Denver Nuggets","west","41","41",101.3,100.5,"1995","y",8,0.799999999999997
"Dallas Mavericks","west","36","46",103.2,106.1,"1995","n",10,-2.89999999999999
"Minnesota Timberwolves","west","21","61",94.2,103.2,"1995","n",12,-9
"Phoenix Suns","west","59","23",110.6,106.8,"1995","y",2,3.8
"Seattle SuperSonics","west","57","25",110.4,102.2,"1995","y",4,8.2
"Los Angeles Lakers","west","48","34",105.1,105.3,"1995","y",5,-0.200000000000003
"Portland Trail Blazers","west","44","38",103.1,99.2,"1995","y",7,3.89999999999999
"Sacramento Kings","west","39","43",98.2,99.2,"1995","n",9,-1
"Golden State Warriors","west","26","56",105.7,111.1,"1995","n",11,-5.39999999999999
"Los Angeles Clippers","west","17","65",96.7,105.8,"1995","n",13,-9.09999999999999
"San Antonio Spurs","west","59","23",103.4,97.1,"1996","y",2,6.30000000000001
"Utah Jazz","west","55","27",102.5,95.9,"1996","y",3,6.59999999999999
"Houston Rockets","west","48","34",102.5,100.7,"1996","y",5,1.8
"Denver Nuggets","west","35","47",97.7,100.4,"1996","n",10,-2.7
"Minnesota Timberwolves","west","26","56",97.9,103.2,"1996","n",12,-5.3
"Dallas Mavericks","west","26","56",102.5,107.5,"1996","n",13,-5
"Vancouver Grizzlies","west","15","67",89.8,99.8,"1996","n",14,-10
"Seattle SuperSonics","west","64","18",104.5,96.7,"1996","y",1,7.8
"Los Angeles Lakers","west","53","29",102.9,98.5,"1996","y",4,4.40000000000001
"Portland Trail Blazers","west","44","38",99.3,97,"1996","y",6,2.3
"Phoenix Suns","west","41","41",104.3,104,"1996","y",7,0.299999999999997
"Sacramento Kings","west","39","43",99.5,102.3,"1996","y",8,-2.8
"Golden State Warriors","west","36","46",101.6,103.1,"1996","n",9,-1.5
"Los Angeles Clippers","west","29","53",99.4,103,"1996","n",11,-3.59999999999999
"Utah Jazz","west","64","18",103.1,94.3,"1997","y",1,8.8
"Houston Rockets","west","57","25",100.6,96.1,"1997","y",3,4.5
"Minnesota Timberwolves","west","40","42",96.1,97.6,"1997","y",6,-1.5
"Dallas Mavericks","west","24","58",90.6,97,"1997","n",11,-6.40000000000001
"Denver Nuggets","west","21","61",97.8,104.1,"1997","n",12,-6.3
"San Antonio Spurs","west","20","62",90.5,98.3,"1997","n",13,-7.8
"Vancouver Grizzlies","west","14","68",89.2,99.4,"1997","n",14,-10.2
"Seattle SuperSonics","west","57","25",100.9,93.2,"1997","y",2,7.7
"Los Angeles Lakers","west","56","26",100,95.7,"1997","y",4,4.3
"Portland Trail Blazers","west","49","33",99,94.8,"1997","y",5,4.2
"Phoenix Suns","west","40","42",102.8,102.2,"1997","y",7,0.599999999999994
"Los Angeles Clippers","west","36","46",97.2,99.5,"1997","y",8,-2.3
"Sacramento Kings","west","34","48",96.4,99.8,"1997","n",9,-3.39999999999999
"Golden State Warriors","west","30","52",99.6,104.4,"1997","n",10,-4.80000000000001
"Utah Jazz","west","62","20",101,94.4,"1998","y",1,6.59999999999999
"San Antonio Spurs","west","56","26",92.5,88.5,"1998","y",5,4
"Minnesota Timberwolves","west","45","37",101.1,100.4,"1998","y",7,0.699999999999989
"Houston Rockets","west","41","41",98.8,99.5,"1998","y",8,-0.700000000000003
"Dallas Mavericks","west","20","62",91.4,97.5,"1998","n",10,-6.09999999999999
"Vancouver Grizzlies","west","19","63",96.6,103.9,"1998","n",11,-7.30000000000001
"Denver Nuggets","west","11","71",89,100.8,"1998","n",14,-11.8
"Seattle SuperSonics","west","61","21",100.6,93.4,"1998","y",2,7.19999999999999
"Los Angeles Lakers","west","61","21",105.5,97.8,"1998","y",3,7.7
"Phoenix Suns","west","56","26",99.6,94.4,"1998","y",4,5.19999999999999
"Portland Trail Blazers","west","46","36",94.3,92.9,"1998","y",6,1.39999999999999
"Sacramento Kings","west","27","55",93.1,98.7,"1998","n",9,-5.60000000000001
"Golden State Warriors","west","19","63",88.3,97.4,"1998","n",12,-9.10000000000001
"Los Angeles Clippers","west","17","65",95.9,103.3,"1998","n",13,-7.39999999999999
"San Antonio Spurs","west","37","13",92.8,84.7,"1999","y",1,8.09999999999999
"Utah Jazz","west","37","13",93.3,86.8,"1999","y",2,6.5
"Houston Rockets","west","31","19",94.2,91.9,"1999","y",5,2.3
"Minnesota Timberwolves","west","25","25",92.9,92.6,"1999","y",8,0.300000000000011
"Dallas Mavericks","west","19","31",91.6,94,"1999","n",11,-2.40000000000001
"Denver Nuggets","west","14","36",93.5,100.1,"1999","n",12,-6.59999999999999
"Vancouver Grizzlies","west","8","42",88.9,97.5,"1999","n",14,-8.59999999999999
"Portland Trail Blazers","west","35","15",94.8,88.5,"1999","y",3,6.3
"Los Angeles Lakers","west","31","19",99,96,"1999","y",4,3
"Phoenix Suns","west","27","23",95.6,93.3,"1999","y",6,2.3
"Sacramento Kings","west","27","23",100.2,100.6,"1999","y",7,-0.399999999999991
"Seattle SuperSonics","west","25","25",94.9,95.9,"1999","n",9,-1
"Golden State Warriors","west","21","29",88.3,90.8,"1999","n",10,-2.5
"Los Angeles Clippers","west","9","41",90.4,99.2,"1999","n",13,-8.8
"Utah Jazz","west","55","27",96.5,92,"2000","y",2,4.5
"San Antonio Spurs","west","53","29",96.2,90.2,"2000","y",4,6
"Minnesota Timberwolves","west","50","32",98.5,96,"2000","y",6,2.5
"Dallas Mavericks","west","40","42",101.4,102,"2000","n",9,-0.599999999999994
"Denver Nuggets","west","35","47",99,101.1,"2000","n",10,-2.09999999999999
"Houston Rockets","west","34","48",99.5,100.3,"2000","n",11,-0.799999999999997
"Vancouver Grizzlies","west","22","60",93.9,99.5,"2000","n",12,-5.59999999999999
"Los Angeles Lakers","west","67","15",100.8,92.3,"2000","y",1,8.5
"Portland Trail Blazers","west","59","23",97.5,91,"2000","y",3,6.5
"Phoenix Suns","west","53","29",98.9,93.7,"2000","y",5,5.2
"Seattle SuperSonics","west","45","37",99.1,98.1,"2000","y",7,1
"Sacramento Kings","west","44","38",105,102,"2000","y",8,3
"Golden State Warriors","west","19","63",95.5,103.8,"2000","n",13,-8.3
"Los Angeles Clippers","west","15","67",92,103.5,"2000","n",14,-11.5
"San Antonio Spurs","west","58","24",96.2,88.4,"2001","y",1,7.8
"Utah Jazz","west","53","29",97.1,92.4,"2001","y",4,4.69999999999999
"Dallas Mavericks","west","53","29",100.5,96.2,"2001","y",5,4.3
"Minnesota Timberwolves","west","47","35",97.3,96,"2001","y",8,1.3
"Houston Rockets","west","45","37",97.2,94.9,"2001","n",9,2.3
"Denver Nuggets","west","40","42",96.6,99,"2001","n",11,-2.40000000000001
"Vancouver Grizzlies","west","23","59",91.7,97.5,"2001","n",13,-5.8
"Los Angeles Lakers","west","56","26",100.6,97.2,"2001","y",2,3.39999999999999
"Sacramento Kings","west","55","27",101.7,95.9,"2001","y",3,5.8
"Phoenix Suns","west","51","31",94,91.8,"2001","y",6,2.2
"Portland Trail Blazers","west","50","32",95.4,91.2,"2001","y",7,4.2
"Seattle SuperSonics","west","44","38",97.3,97.3,"2001","n",10,0
"Los Angeles Clippers","west","31","51",92.5,95.3,"2001","n",12,-2.8
"Golden State Warriors","west","17","65",92.5,101.5,"2001","n",14,-9
"San Antonio Spurs","west","58","24",96.7,90.5,"2002","y",2,6.2
"Dallas Mavericks","west","57","25",105.2,101,"2002","y",4,4.2
"Minnesota Timberwolves","west","50","32",99.3,96,"2002","y",5,3.3
"Utah Jazz","west","44","38",96,95.1,"2002","y",8,0.900000000000006
"Houston Rockets","west","28","54",92.3,97.2,"2002","n",11,-4.90000000000001
"Denver Nuggets","west","27","55",92.2,98,"2002","n",12,-5.8
"Memphis Grizzlies","west","23","59",89.9,97.3,"2002","n",13,-7.39999999999999
"Sacramento Kings","west","61","21",104.6,97,"2002","y",1,7.59999999999999
"Los Angeles Lakers","west","58","24",101.3,94.1,"2002","y",3,7.2
"Portland Trail Blazers","west","49","33",96.6,93.7,"2002","y",6,2.89999999999999
"Seattle SuperSonics","west","45","37",97.7,94.7,"2002","y",7,3
"Los Angeles Clippers","west","39","43",95.7,96.1,"2002","n",9,-0.399999999999991
"Phoenix Suns","west","36","46",95.1,95.8,"2002","n",10,-0.700000000000003
"Golden State Warriors","west","21","61",97.7,103.1,"2002","n",14,-5.39999999999999
"San Antonio Spurs","west","60","22",95.8,90.4,"2003","y",1,5.39999999999999
"Dallas Mavericks","west","60","22",103,95.2,"2003","y",3,7.8
"Minnesota Timberwolves","west","51","31",98.1,96,"2003","y",4,2.09999999999999
"Utah Jazz","west","47","35",94.7,92.3,"2003","y",7,2.40000000000001
"Houston Rockets","west","43","39",93.8,92.3,"2003","n",9,1.5
"Memphis Grizzlies","west","28","54",97.5,100.7,"2003","n",12,-3.2
"Denver Nuggets","west","17","65",84.2,92.4,"2003","n",14,-8.2
"Sacramento Kings","west","59","23",101.7,95.2,"2003","y",2,6.5
"Los Angeles Lakers","west","50","32",100.4,98,"2003","y",5,2.40000000000001
"Portland Trail Blazers","west","50","32",95.2,92.5,"2003","y",6,2.7
"Phoenix Suns","west","44","38",95.5,94.4,"2003","y",8,1.09999999999999
"Seattle SuperSonics","west","40","42",92.1,92.3,"2003","n",10,-0.200000000000003
"Golden State Warriors","west","38","44",102.4,103.6,"2003","n",11,-1.19999999999999
"Los Angeles Clippers","west","27","55",93.8,97.9,"2003","n",13,-4.10000000000001
"Minnesota Timberwolves","west","58","24",94.5,89.1,"2004","y",1,5.40000000000001
"San Antonio Spurs","west","57","25",91.5,84.3,"2004","y",3,7.2
"Dallas Mavericks","west","52","30",105.2,100.8,"2004","y",5,4.40000000000001
"Memphis Grizzlies","west","50","32",96.7,94.3,"2004","y",6,2.40000000000001
"Houston Rockets","west","45","37",89.8,88,"2004","y",7,1.8
"Denver Nuggets","west","43","39",97.2,96.1,"2004","y",8,1.10000000000001
"Utah Jazz","west","42","40",88.7,89.9,"2004","n",9,-1.2
"Los Angeles Lakers","west","56","26",98.2,94.3,"2004","y",2,3.90000000000001
"Sacramento Kings","west","55","27",102.8,97.8,"2004","y",4,5
"Portland Trail Blazers","west","41","41",90.7,92,"2004","n",10,-1.3
"Golden State Warriors","west","37","45",93.3,94,"2004","n",11,-0.700000000000003
"Seattle SuperSonics","west","37","45",97.1,97.8,"2004","n",12,-0.700000000000003
"Phoenix Suns","west","29","53",94.2,97.9,"2004","n",13,-3.7
"Los Angeles Clippers","west","28","54",94.8,99.4,"2004","n",14,-4.60000000000001
"Seattle SuperSonics","west","52","30",98.9,96.6,"2005","y",3,2.30000000000001
"Denver Nuggets","west","49","33",99.5,97.5,"2005","y",7,2
"Minnesota Timberwolves","west","44","38",96.8,95.3,"2005","n",9,1.5
"Portland Trail Blazers","west","27","55",92.9,96.9,"2005","n",13,-4
"Utah Jazz","west","26","56",93,97.3,"2005","n",14,-4.3
"Phoenix Suns","west","62","20",110.4,103.3,"2005","y",1,7.10000000000001
"Sacramento Kings","west","50","32",103.7,101.6,"2005","y",6,2.10000000000001
"Los Angeles Clippers","west","37","45",95.7,96.5,"2005","n",10,-0.799999999999997
"Los Angeles Lakers","west","34","48",98.7,101.7,"2005","n",11,-3
"Golden State Warriors","west","34","48",98.7,100.9,"2005","n",12,-2.2
"San Antonio Spurs","west","59","23",96.2,88.4,"2005","y",2,7.8
"Dallas Mavericks","west","58","24",102.5,96.8,"2005","y",4,5.7
"Houston Rockets","west","51","31",95.1,91,"2005","y",5,4.09999999999999
"Memphis Grizzlies","west","45","37",93.4,91.1,"2005","y",8,2.30000000000001
"New Orleans Hornets","west","18","64",88.4,95.5,"2005","n",15,-7.09999999999999
"Denver Nuggets","west","44","38",100.3,100.1,"2006","y",3,0.200000000000003
"Utah Jazz","west","41","41",92.4,95,"2006","n",9,-2.59999999999999
"Seattle SuperSonics","west","35","47",102.6,105.6,"2006","n",11,-3
"Minnesota Timberwolves","west","33","49",91.7,93.6,"2006","n",14,-1.89999999999999
"Portland Trail Blazers","west","21","61",88.8,98.3,"2006","n",15,-9.5
"Phoenix Suns","west","54","28",108.4,102.8,"2006","y",2,5.60000000000001
"Los Angeles Clippers","west","47","35",97.2,95.6,"2006","y",6,1.60000000000001
"Los Angeles Lakers","west","45","37",99.4,96.9,"2006","y",7,2.5
"Sacramento Kings","west","44","38",98.9,97.3,"2006","y",8,1.60000000000001
"Golden State Warriors","west","34","48",98.5,99.8,"2006","n",13,-1.3
"San Antonio Spurs","west","63","19",95.6,88.8,"2006","y",1,6.8
"Dallas Mavericks","west","60","22",99.1,93.1,"2006","y",4,6
"Memphis Grizzlies","west","49","33",92.2,88.5,"2006","y",5,3.7
"New Orleans/Oklahoma City Hornets","west","38","44",92.8,95.6,"2006","n",10,-2.8
"Houston Rockets","west","34","48",90.1,91.7,"2006","n",12,-1.60000000000001
"Utah Jazz","west","51","31",101.5,98.6,"2007","y",4,2.90000000000001
"Denver Nuggets","west","45","37",105.4,103.7,"2007","y",6,1.7
"Portland Trail Blazers","west","32","50",94.1,98.4,"2007","n",12,-4.30000000000001
"Minnesota Timberwolves","west","32","50",96.1,99.7,"2007","n",13,-3.60000000000001
"Seattle SuperSonics","west","31","51",99.1,102,"2007","n",14,-2.90000000000001
"Phoenix Suns","west","61","21",110.2,102.9,"2007","y",2,7.3
"Los Angeles Lakers","west","42","40",103.3,103.4,"2007","y",7,-0.100000000000009
"Golden State Warriors","west","42","40",106.5,106.9,"2007","y",8,-0.400000000000006
"Los Angeles Clippers","west","40","42",95.6,96.1,"2007","n",9,-0.5
"Sacramento Kings","west","33","49",101.3,103.1,"2007","n",11,-1.8
"Dallas Mavericks","west","67","15",100,92.8,"2007","y",1,7.2
"San Antonio Spurs","west","58","24",98.5,90.1,"2007","y",3,8.40000000000001
"Houston Rockets","west","52","30",97,92.1,"2007","y",5,4.90000000000001
"New Orleans/Oklahoma City Hornets","west","39","43",95.5,97.1,"2007","n",10,-1.59999999999999
"Memphis Grizzlies","west","22","60",101.6,106.7,"2007","n",15,-5.10000000000001
"Utah Jazz","west","54","28",106.2,99.3,"2008","y",4,6.90000000000001
"Denver Nuggets","west","50","32",110.7,107,"2008","y",8,3.7
"Portland Trail Blazers","west","41","41",95.4,96.3,"2008","n",10,-0.899999999999991
"Minnesota Timberwolves","west","22","60",95.6,102.4,"2008","n",14,-6.80000000000001
"Seattle SuperSonics","west","20","62",97.5,106.3,"2008","n",15,-8.8
"Los Angeles Lakers","west","57","25",108.6,101.3,"2008","y",1,7.3
"Phoenix Suns","west","55","27",110.1,105,"2008","y",6,5.09999999999999
"Golden State Warriors","west","48","34",111,108.8,"2008","n",9,2.2
"Sacramento Kings","west","38","44",102.5,104.8,"2008","n",11,-2.3
"Los Angeles Clippers","west","23","59",93.8,101.1,"2008","n",12,-7.3
"New Orleans Hornets","west","56","26",100.9,95.6,"2008","y",2,5.30000000000001
"San Antonio Spurs","west","56","26",95.4,90.6,"2008","y",3,4.80000000000001
"Houston Rockets","west","55","27",96.7,92,"2008","y",5,4.7
"Dallas Mavericks","west","51","31",100.4,95.9,"2008","y",7,4.5
"Memphis Grizzlies","west","22","60",100.7,106.9,"2008","n",13,-6.2
"Denver Nuggets","west","54","28",104.3,100.9,"2009","y",2,3.39999999999999
"Portland Trail Blazers","west","54","28",99.4,94.1,"2009","y",4,5.30000000000001
"Utah Jazz","west","48","34",103.6,100.9,"2009","y",8,2.69999999999999
"Minnesota Timberwolves","west","24","58",97.8,102.7,"2009","n",11,-4.90000000000001
"Oklahoma City Thunder","west","23","59",97,103.1,"2009","n",13,-6.09999999999999
"Los Angeles Lakers","west","65","17",106.9,99.3,"2009","y",1,7.60000000000001
"Phoenix Suns","west","46","36",109.4,107.5,"2009","n",9,1.90000000000001
"Golden State Warriors","west","29","53",108.6,112.3,"2009","n",10,-3.7
"Los Angeles Clippers","west","19","63",95.1,103.9,"2009","n",14,-8.80000000000001
"Sacramento Kings","west","17","65",100.6,109.3,"2009","n",15,-8.7
"San Antonio Spurs","west","54","28",97,93.3,"2009","y",3,3.7
"Houston Rockets","west","53","29",98.4,94.4,"2009","y",5,4
"Dallas Mavericks","west","50","32",101.7,99.8,"2009","y",6,1.90000000000001
"New Orleans Hornets","west","49","33",95.8,94.3,"2009","y",7,1.5
"Memphis Grizzlies","west","24","58",93.9,99.3,"2009","n",12,-5.39999999999999
"Denver Nuggets","west","53","29",106.5,102.4,"2010","y",4,4.09999999999999
"Utah Jazz","west","53","29",104.2,98.9,"2010","y",5,5.3
"Portland Trail Blazers","west","50","32",98.1,94.8,"2010","y",6,3.3
"Oklahoma City Thunder","west","50","32",101.5,98,"2010","y",8,3.5
"Minnesota Timberwolves","west","15","67",98.2,107.8,"2010","n",15,-9.59999999999999
"Los Angeles Lakers","west","57","25",101.7,97,"2010","y",1,4.7
"Phoenix Suns","west","54","28",110.2,105.3,"2010","y",3,4.90000000000001
"Los Angeles Clippers","west","29","53",95.7,102.1,"2010","n",12,-6.39999999999999
"Golden State Warriors","west","26","56",108.8,112.4,"2010","n",13,-3.60000000000001
"Sacramento Kings","west","25","57",100,104.4,"2010","n",14,-4.40000000000001
"Dallas Mavericks","west","55","27",102,99.3,"2010","y",2,2.7
"San Antonio Spurs","west","50","32",101.4,96.3,"2010","y",7,5.10000000000001
"Houston Rockets","west","42","40",102.4,102.7,"2010","n",9,-0.299999999999997
"Memphis Grizzlies","west","40","42",102.5,104,"2010","n",10,-1.5
"New Orleans Hornets","west","37","45",100.2,102.7,"2010","n",11,-2.5
"Oklahoma City Thunder","west","55","27",104.8,101,"2011","y",4,3.8
"Denver Nuggets","west","50","32",107.5,102.7,"2011","y",5,4.8
"Portland Trail Blazers","west","48","34",96.3,94.8,"2011","y",6,1.5
"Utah Jazz","west","39","43",99.4,101.3,"2011","n",11,-1.89999999999999
"Minnesota Timberwolves","west","17","65",101.1,107.7,"2011","n",15,-6.60000000000001
"Los Angeles Lakers","west","57","25",101.5,95.4,"2011","y",2,6.09999999999999
"Phoenix Suns","west","40","42",105,105.9,"2011","n",10,-0.900000000000006
"Golden State Warriors","west","36","46",103.4,105.7,"2011","n",12,-2.3
"Los Angeles Clippers","west","32","50",98.6,101.8,"2011","n",13,-3.2
"Sacramento Kings","west","24","58",99.4,104.7,"2011","n",14,-5.3
"San Antonio Spurs","west","61","21",103.7,98,"2011","y",1,5.7
"Dallas Mavericks","west","57","25",100.2,96,"2011","y",3,4.2
"New Orleans Hornets","west","46","36",94.9,94,"2011","y",7,0.900000000000006
"Memphis Grizzlies","west","46","36",99.9,97.6,"2011","y",8,2.30000000000001
"Houston Rockets","west","43","39",105.9,103.7,"2011","n",9,2.2
"Oklahoma City Thunder","west","47","19",103.1,96.9,"2012","y",2,6.19999999999999
"Denver Nuggets","west","38","28",104.1,101.2,"2012","y",6,2.89999999999999
"Utah Jazz","west","36","30",99.7,99,"2012","y",8,0.700000000000003
"Portland Trail Blazers","west","28","38",97.2,97.8,"2012","n",11,-0.599999999999994
"Minnesota Timberwolves","west","26","40",97.9,100.1,"2012","n",12,-2.19999999999999
"Los Angeles Lakers","west","41","25",97.3,95.9,"2012","y",3,1.39999999999999
"Los Angeles Clippers","west","40","26",97.5,95,"2012","y",5,2.5
"Phoenix Suns","west","33","33",98.4,98.6,"2012","n",10,-0.199999999999989
"Golden State Warriors","west","23","43",97.8,101.2,"2012","n",13,-3.40000000000001
"Sacramento Kings","west","22","44",98.8,104.4,"2012","n",14,-5.60000000000001
"San Antonio Spurs","west","50","16",103.7,96.5,"2012","y",1,7.2
"Memphis Grizzlies","west","41","25",95,93,"2012","y",4,2
"Dallas Mavericks","west","36","30",95.8,94.8,"2012","y",7,1
"Houston Rockets","west","34","32",98.1,97.9,"2012","n",9,0.199999999999989
"New Orleans Hornets","west","21","45",89.6,93.4,"2012","n",15,-3.80000000000001
"Oklahoma City Thunder","west","60","22",105.7,96.5,"2013","y",1,9.2
"Denver Nuggets","west","57","25",106.1,101.1,"2013","y",3,5
"Utah Jazz","west","43","39",98,98.1,"2013","n",9,-0.0999999999999943
"Portland Trail Blazers","west","33","49",97.5,100.7,"2013","n",11,-3.2
"Minnesota Timberwolves","west","31","51",95.7,98.1,"2013","n",12,-2.39999999999999
"Los Angeles Clippers","west","56","26",101.1,94.6,"2013","y",4,6.5
"Golden State Warriors","west","47","35",101.2,100.3,"2013","y",6,0.900000000000006
"Los Angeles Lakers","west","45","37",102.2,101,"2013","y",7,1.2
"Sacramento Kings","west","28","54",100.2,105.1,"2013","n",13,-4.89999999999999
"Phoenix Suns","west","25","57",95.2,101.6,"2013","n",15,-6.39999999999999
"San Antonio Spurs","west","58","24",103,96.6,"2013","y",2,6.40000000000001
"Memphis Grizzlies","west","56","26",93.4,89.3,"2013","y",5,4.10000000000001
"Houston Rockets","west","45","37",106,102.5,"2013","y",8,3.5
"Dallas Mavericks","west","41","41",101.1,101.7,"2013","n",10,-0.600000000000009
"New Orleans Hornets","west","27","55",94.1,97.9,"2013","n",14,-3.80000000000001
"Oklahoma City Thunder","west","59","23",106.2,99.8,"2014","y",2,6.40000000000001
"Portland Trail Blazers","west","54","28",106.7,102.8,"2014","y",4,3.90000000000001
"Minnesota Timberwolves","west","40","42",106.9,104.3,"2014","n",10,2.60000000000001
"Denver Nuggets","west","36","46",104.4,106.5,"2014","n",11,-2.09999999999999
"Utah Jazz","west","25","57",95,102.2,"2014","n",15,-7.2
"Los Angeles Clippers","west","57","25",107.9,101,"2014","y",3,6.90000000000001
"Golden State Warriors","west","51","31",104.3,99.5,"2014","y",6,4.8
"Phoenix Suns","west","48","34",105.2,102.6,"2014","n",9,2.60000000000001
"Sacramento Kings","west","28","54",100.5,103.4,"2014","n",13,-2.90000000000001
"Los Angeles Lakers","west","27","55",103,109.2,"2014","n",14,-6.2
"San Antonio Spurs","west","62","20",105.4,97.6,"2014","y",1,7.80000000000001
"Houston Rockets","west","54","28",107.7,103.1,"2014","y",4,4.60000000000001
"Memphis Grizzlies","west","50","32",96.1,94.6,"2014","y",7,1.5
"Dallas Mavericks","west","49","33",104.8,102.4,"2014","y",8,2.39999999999999
"New Orleans Pelicans","west","34","48",99.7,102.4,"2014","n",12,-2.7
"Portland Trail Blazers","west","51","31",102.8,98.6,"2015","y",4,4.2
"Oklahoma City Thunder","west","45","37",104,101.8,"2015","n",9,2.2
"Utah Jazz","west","38","44",95.1,94.9,"2015","n",11,0.199999999999989
"Denver Nuggets","west","30","52",101.5,105,"2015","n",12,-3.5
"Minnesota Timberwolves","west","16","66",97.8,106.5,"2015","n",15,-8.7
"Golden State Warriors","west","67","15",110,99.9,"2015","y",1,10.1
"Los Angeles Clippers","west","56","26",106.7,100.1,"2015","y",2,6.60000000000001
"Phoenix Suns","west","39","43",102.4,103.3,"2015","n",10,-0.899999999999991
"Sacramento Kings","west","29","53",101.3,105,"2015","n",13,-3.7
"Los Angeles Lakers","west","21","61",98.5,105.3,"2015","n",14,-6.8
"Houston Rockets","west","56","26",103.9,100.5,"2015","y",2,3.40000000000001
"San Antonio Spurs","west","55","27",103.2,97,"2015","y",5,6.2
"Memphis Grizzlies","west","55","27",98.3,95.1,"2015","y",5,3.2
"Dallas Mavericks","west","50","32",105.2,102.3,"2015","y",7,2.90000000000001
"New Orleans Pelicans","west","45","37",99.4,98.6,"2015","y",8,0.800000000000011
"Toronto Raptors","east","56","26",102.7,98.2,"2016","y",2,4.5
"Boston Celtics","east","48","34",105.7,102.5,"2016","y",5,3.2
"New York Knicks","east","32","50",98.4,101.1,"2016","n",13,-2.69999999999999
"Brooklyn Nets","east","21","61",98.6,106,"2016","n",14,-7.40000000000001
"Philadelphia 76ers","east","10","72",97.4,107.6,"2016","n",15,-10.2
"Cleveland Cavaliers","east","57","25",104.3,98.3,"2016","y",1,6
"Indiana Pacers","east","45","37",102.2,100.5,"2016","y",7,1.7
"Detroit Pistons","east","44","38",102,101.4,"2016","y",8,0.599999999999994
"Chicago Bulls","east","42","40",101.6,103.1,"2016","n",9,-1.5
"Milwaukee Bucks","east","33","49",99,103.2,"2016","n",12,-4.2
"Miami Heat","east","48","34",100,98.4,"2016","y",3,1.59999999999999
"Atlanta Hawks","east","48","34",102.8,99.2,"2016","y",4,3.59999999999999
"Charlotte Hornets","east","48","34",103.4,100.7,"2016","y",6,2.7
"Washington Wizards","east","41","41",104.1,104.6,"2016","n",10,-0.5
"Orlando Magic","east","35","47",102.1,103.7,"2016","n",11,-1.60000000000001
"Oklahoma City Thunder","west","55","27",110.2,102.9,"2016","y",3,7.3
"Portland Trail Blazers","west","44","38",105.1,104.3,"2016","y",5,0.799999999999997
"Utah Jazz","west","40","42",97.7,95.9,"2016","n",9,1.8
"Denver Nuggets","west","33","49",101.9,105,"2016","n",10,-3.09999999999999
"Minnesota Timberwolves","west","29","53",102.4,106,"2016","n",13,-3.59999999999999
"Golden State Warriors","west","73","9",114.9,104.1,"2016","y",1,10.8
"Los Angeles Clippers","west","53","29",104.5,100.2,"2016","y",4,4.3
"Sacramento Kings","west","33","49",106.6,109.1,"2016","n",10,-2.5
"Phoenix Suns","west","23","59",100.9,107.5,"2016","n",14,-6.59999999999999
"Los Angeles Lakers","west","17","65",97.3,106.9,"2016","n",15,-9.60000000000001
"San Antonio Spurs","west","67","15",103.5,92.9,"2016","y",2,10.6
"Dallas Mavericks","west","42","40",102.3,102.6,"2016","y",6,-0.299999999999997
"Memphis Grizzlies","west","42","40",99.1,101.3,"2016","y",7,-2.2
"Houston Rockets","west","41","41",106.5,106.4,"2016","y",8,0.0999999999999943
"New Orleans Pelicans","west","30","52",102.7,106.5,"2016","n",12,-3.8
